tech_clean,tech_clean_sep,AI_ambiguous,Manual_human,tech_stem
15minute cities,15 minute cities,0,0,15 minut citi
1987 aviation technology,1987 aviation technology,0,0,1987 aviat technolog
3d display,3d display,0,0,3d display
3d film,3d film,0,0,3d film
3d modeling,3d modeling,0,0,3d model
3d models,3d models,0,0,3d model
3d printing,3d printing,0,0,3d print
3d recreation,3d recreation,1,0,3d recreat
3dprinted guns,3d printed guns,0,0,3d print gun
3dprinted pods,3d printed pods,0,1,3d print pod
3drendering software,3d rendering software,0,0,3d render softwar
4g devices,4g devices,0,0,4g devic
4k tv,4k tv,0,0,4k tv
5g,5g,1,1,5g
5g cellular,5g cellular,0,0,5g cellular
5g network,5g network,0,0,5g network
5g networks,5g networks,0,0,5g network
5g technology,5g technology,0,0,5g technolog
75 mph governor,75 mph governor,0,0,75 mph governor
7d hologram,7d hologram,0,0,7d hologram
8mm videotape,8mm videotape,0,0,8mm videotap
9mm pistols,9mm pistols,0,0,9mm pistol
9volt batteries,9volt batteries,0,0,9volt batteri
abort system,abort system,1,1,abort system
abortion pill,abortion pill,0,0,abort pill
abortion pills,abortion pills,0,0,abort pill
ac unit,ac unit,0,0,ac unit
ach transfer,ach transfer,0,0,ach transfer
act,act,1,1,act
activity tracker,activity tracker,0,0,activ tracker
acupuncture,acupuncture,0,0,acupunctur
adobe photoshop,adobe photoshop,0,0,adob photoshop
adult stem cell research,adult stem cell research,0,0,adult stem cell research
advanced batteries,advanced batteries,0,0,advanc batteri
advanced energy,advanced energy,1,0,advanc energi
advanced weapons,advanced weapons,0,0,advanc weapon
aerial insecticide spray,aerial insecticide spray,0,0,aerial insecticid spray
aerial surveillance,aerial surveillance,0,0,aerial surveil
aerosol cans,aerosol cans,0,0,aerosol can
aerosol sunscreens,aerosol sunscreens,0,0,aerosol sunscreen
aerosolized spraying,aerosolized spraying,0,0,aerosol spray
affordable care act,affordable care act,0,0,afford care act
affordable care act marketplaces,affordable care act marketplaces,0,0,afford care act marketplac
agent orange,agent orange,0,0,agent orang
ai,ai,1,0,ai
ai chatbot,ai chatbot,0,0,ai chatbot
ai courts,ai courts,1,0,ai court
ai facial recognition,ai facial recognition,0,0,ai facial recognit
ai navigation system,ai navigation system,0,0,ai navig system
ai technology,ai technology,0,0,ai technolog
ai voices,ai voices,0,1,ai voic
aids vaccine,aids vaccine,0,0,aid vaccin
aienabled drone,ai enabled drone,0,0,ai enabl drone
aigenerated audio,ai generated audio,0,0,ai gener audio
aigenerated editing,ai generated editing,0,0,ai gener edit
aigenerated images,ai generated images,0,0,ai gener imag
aigenerated narration,ai generated narration,0,0,ai gener narrat
aigenerated photos,ai generated photos,0,0,ai gener photo
aigenerated scripting,ai generated scripting,0,1,ai gener script
aigenerated voice,ai generated voice,0,0,ai gener voic
air conditioning,air conditioning,0,0,air condit
air conditioning units,air conditioning units,0,0,air condit unit
air fresheners,air fresheners,0,0,air freshen
air fryer,air fryer,0,0,air fryer
air fryers,air fryers,0,0,air fryer
air quality monitor,air quality monitor,0,0,air qualiti monitor
air rifles,air rifles,0,0,air rifl
air vaccine,air vaccine,1,0,air vaccin
airbag,airbag,0,0,airbag
airbags,airbags,0,0,airbag
airbus 340,airbus 340,0,0,airbu 340
airbus a350,airbus a350,0,0,airbu a350
aircraft,aircraft,0,0,aircraft
aircraft carrier,aircraft carrier,0,0,aircraft carrier
aircraft carriers,aircraft carriers,0,0,aircraft carrier
aircraft warning systems,aircraft warning systems,0,0,aircraft warn system
airdrop,airdrop,1,1,airdrop
airlifting,airlifting,0,0,airlift
airplane,airplane,0,0,airplan
airplane engine,airplane engine,0,0,airplan engin
airplane engines,airplane engines,0,0,airplan engin
airplane mode,airplane mode,0,0,airplan mode
airplane toilets,airplane toilets,0,0,airplan toilet
airplanes,airplanes,0,0,airplan
airpods,airpods,0,0,airpod
airport scanner,airport scanner,0,0,airport scanner
airport scanners,airport scanners,0,0,airport scanner
airquality monitor,air quality monitor,0,0,air qualiti monitor
airships,airships,0,0,airship
airstrikes,airstrikes,0,0,airstrik
airtag,airtag,0,0,airtag
ais,ais,1,1,ai
ak47,ak 47,0,0,ak 47
alert system,alert system,0,0,alert system
alexa,alexa,1,1,alexa
algorithm,algorithm,1,0,algorithm
algorithms,algorithms,0,0,algorithm
alien technology,alien technology,0,0,alien technolog
aluminum cookware,aluminum cookware,0,0,aluminum cookwar
amazon alexa,amazon alexa,0,0,amazon alexa
amazon app,amazon app,0,0,amazon app
amazon sidewalk,amazon sidewalk,0,0,amazon sidewalk
ammunition,ammunition,0,0,ammunit
amniocentesis,amniocentesis,0,0,amniocentesi
analog clocks,analog clocks,0,0,analog clock
ancient dna,ancient dna,0,0,ancient dna
android,android,1,1,android
android phone,android phone,0,0,android phone
anesthesia,anesthesia,0,0,anesthesia
animal chip scanner,animal chip scanner,0,0,anim chip scanner
animation,animation,1,0,anim
animatronic sculpture,animatronic sculpture,0,0,animatron sculptur
animatronics,animatronics,0,0,animatron
ankle monitors,ankle monitors,0,0,ankl monitor
antenna,antenna,1,0,antenna
anthrax vaccinations,anthrax vaccinations,0,0,anthrax vaccin
antiaircraft gun,antiaircraft gun,0,0,antiaircraft gun
antibacterial soaps,antibacterial soaps,0,0,antibacteri soap
antibody cocktail,antibody cocktail,0,0,antibodi cocktail
antifingerprint theft technology,antifingerprint theft technology,0,0,antifingerprint theft technolog
antimalaria drug,antimalaria drug,0,0,antimalaria drug
antimissile flares,antimissile flares,0,0,antimissil flare
antipaparazzi scarf,antipaparazzi scarf,0,0,antipaparazzi scarf
antirape device,antirape device,0,0,antirap devic
antisolar panels,antisolar panels,0,0,antisolar panel
antitank supplies,antitank supplies,0,0,antitank suppli
antitheft devices,antitheft devices,0,0,antitheft devic
antiviral drugs,antiviral drugs,0,0,antivir drug
antivirus,antivirus,0,1,antiviru
antivirus software,antivirus software,0,0,antiviru softwar
apache helicopter,apache helicopter,0,0,apach helicopt
app,app,1,0,app
app store,app store,0,0,app store
apple airtag,apple airtag,0,0,appl airtag
apple device,apple device,0,0,appl devic
apple intelligence,apple intelligence,1,0,appl intellig
apple maps,apple maps,0,0,appl map
apple store,apple store,0,1,appl store
apple watch,apple watch,0,0,appl watch
apps,apps,1,0,app
aquaman crystal,aquaman crystal,1,0,aquaman crystal
ar,ar,1,1,ar
